[00:00:00.000 --> 00:00:01.910]   Minha humilde opinião, curso
[00:00:01.910 --> 00:00:03.890]   gravado é o último que você tem
[00:00:03.890 --> 00:00:04.680]   que fazer,
[00:00:04.680 --> 00:00:06.330]   ele é o mais trabalhoso, ele é
[00:00:06.330 --> 00:00:09.170]   cansativo, eu tô, são cinco módulos,
[00:00:09.170 --> 00:00:09.960]   eu gravei três,
[00:00:09.960 --> 00:00:11.710]   pra sair os dois últimos eu tô
[00:00:11.710 --> 00:00:13.360]   pedalando essa semana, eu ia
[00:00:13.360 --> 00:00:14.400]   gravar ontem e não gravei,
[00:00:14.400 --> 00:00:16.210]   eu ia gravar, não gravei, não
[00:00:16.210 --> 00:00:17.690]   gravei, depois de gravar tem
[00:00:17.690 --> 00:00:18.560]   que mandar pra editar,
[00:00:18.560 --> 00:00:20.060]   ou você editar que vai gastar
[00:00:20.060 --> 00:00:22.000]   tempo, então dá muito trabalho,
[00:00:22.000 --> 00:00:23.910]   então deixa por último a gravação
[00:00:23.910 --> 00:00:24.680]   de curso, tá?
[00:00:24.680 --> 00:00:26.370]   Quando você tiver certeza que o
[00:00:26.370 --> 00:00:27.970]   método é esse, que são essas
[00:00:27.970 --> 00:00:29.880]   ferramentas, que é essa a ordem,
[00:00:29.880 --> 00:00:32.200]   e aí você percebe, de acordo
[00:00:32.200 --> 00:00:34.860]   com esses momentos, quais produtos
[00:00:34.860 --> 00:00:36.720]   você consegue criar.
[00:00:36.720 --> 00:00:38.150]   Então se você tá muito no
[00:00:38.150 --> 00:00:40.220]   começo, o que eu indigo? Indigo
[00:00:40.220 --> 00:00:41.920]   você criar seu método,
[00:00:41.920 --> 00:00:45.210]   uma oferta mais completa, mais
[00:00:45.210 --> 00:00:47.680]   completa e complexa, que é o
[00:00:47.680 --> 00:00:48.760]   método completo,
[00:00:48.760 --> 00:00:52.850]   e aí você faz o quê? Você faz
[00:00:52.850 --> 00:00:54.750]   essa venda mais cara, que é
[00:00:54.750 --> 00:00:55.560]   todo o seu método,
