Diagnóstico: {troque pelo seu tema},,,
,,,
Nº,Etapa do seu método,Pergunta (troque pelas suas),Resposta (0 a 3)
1,{Etapa 1 — ex: Persona},{Pergunta 1},
2,{Etapa 2 — ex: Promessa},{Pergunta 2},
3,{Etapa 3 — ex: Método},{Pergunta 3},
4,{Etapa 4 — ex: Produto},{Pergunta 4},
5,{Etapa 5 — ex: Posicionamento},{Pergunta 5},
6,{Etapa 6 — se tiver},{Pergunta 6},
7,{Etapa 7 — se tiver},{Pergunta 7},
8,{Etapa 8 — se tiver},{Pergunta 8},
,,,
,,PONTUAÇÃO TOTAL,=SUM(D4:D11)
,,,
COMO LER O RESULTADO:,,,
Faixa 1,0 a X pontos,{Nome do Perfil Inicial} — diagnóstico + próximo passo,
Faixa 2,X a Y pontos,{Nome do Perfil Intermediário} — diagnóstico + próximo passo,
Faixa 3,Y a Z pontos,{Nome do Perfil Avançado} — diagnóstico + próximo passo,
,,,
Ajuste as faixas ao seu nº de perguntas (máx = nº de perguntas x 3).,,,
