data,seguidores,alcance_dia,visitas_perfil_dia
2026-07-16,6803,1933,49
2026-07-16,6803,1933,49
2026-07-17,6803,593,5
2026-07-18,6803,1251,45
2026-07-19,6803,1271,18
2026-07-20,6801,921,23
2026-07-21,6799,1355,9
2026-07-22,6796,1716,21
2026-07-23,6794,1392,20
2026-07-24,6797,2573,14
2026-07-25,6801,1372,23
2026-07-26,6803,2538,15
2026-07-27,6805,898,19
2026-07-28,6805,544,12
2026-07-29,6802,284,17
2026-07-30,6799,4569,182
2026-07-31,6799,7884,429
2026-08-01,6797,3418,173
2026-08-02,6798,4315,12
2026-08-03,6802,1784,5
2026-08-04,6801,1187,7
2026-08-05,6817,3192,126
2026-08-06,6826,3063,198
2026-08-07,6830,4382,110
2026-08-08,6829,3684,7
2026-08-09,6828,3907,3
2026-08-10,6828,6888,13
2026-08-10,6827,5869,15
2026-08-11,6829,5737,15
2026-08-12,6827,2641,9
2026-08-13,6827,2030,10
2026-08-14,6829,4219,541
2026-08-15,6832,7042,459
2026-08-16,6836,6329,262
2026-08-16,6837,7003,264
2026-08-17,6836,4010,11
2026-08-18,6834,4417,13
2026-08-19,6832,2099,8
2026-08-20,6832,1852,8
2026-08-21,6832,1946,10
2026-08-22,6830,1552,3
2026-08-23,6828,2055,7
2026-08-24,6829,3920,13
2026-08-25,6832,2298,9
2026-08-26,6833,1227,14
2026-08-27,6829,3173,18
2026-08-28,6828,2823,13
